,School_Name,STREET,POSTCODE,School_Group,LNG,LAT,LOCALITY,TOWN,SCHSTATUS,SCHOOLTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGELOW,AGEHIGH,GENDER,OFSTEDRATING
0,Acocks Green Primary School,westley road,B27 7UQ,Primary,-1.825223129,52.44679522,Acocks Green,Birmingham,Open,Academy converter,1,0,0,3,11,Mixed,
1,Adderley Primary School,arden road,B8 1DZ,Primary,-1.861050723,52.48382747,Saltley,Birmingham,Open,Community school,1,0,0,4,11,Mixed,Good
2,Al-Furqan Primary School,reddings lane,B11 3EY,Primary,-1.847550234,52.44890278,Tyseley,Birmingham,Open,Voluntary aided school,1,0,0,4,11,Mixed,Good
3,Al-Hijrah School,"cherrywood centre, burbidge road",B9 4US,All Through,-1.853329203,52.48104026,Bordesley Green,Birmingham,Closed,Voluntary aided school,1,1,0,4,16,Mixed,Special Measures
4,Albert Bradbeer Primary Academy,turves green,B31 4RD,Primary,-1.97240037,52.39449077,Longbridge,Birmingham,Open,Academy converter,1,0,0,3,11,Mixed,Good
5,Allens Croft Primary School,allens croft road,B14 6RP,Primary,-1.91327193,52.42116285,Kings Heath,Birmingham,Open,Community school,1,0,0,4,11,Mixed,Good
6,Alston Primary School,alston road,B9 5UN,Primary,-1.831049399,52.48147803,Bordesley Green East,Birmingham,Open,Academy sponsor led,1,0,0,3,11,Mixed,Good
7,Anderton Park Primary School,dennis road,B12 8BL,Primary,-1.875176008,52.45126346,Sparkhill,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Good
8,Anglesey Primary School,anglesey street,B19 1RA,Primary,-1.910584496,52.49963448,,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Good
9,Archbishop Ilsley Catholic School,victoria road,B27 7XY,Secondary,-1.821846799,52.44487533,Acocks Green,Birmingham,Closed,Voluntary aided school,0,1,1,11,18,Mixed,Good
10,Archbishop Ilsley Catholic School,victoria road,B27 7XY,Secondary,-1.821846799,52.44487533,Acocks Green,Birmingham,Open,Academy converter,0,1,1,11,18,Mixed,
11,Arden Primary School,baker street,B11 4SF,Primary,-1.862509285,52.4551961,Sparkhill,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Good
12,Ark Boulton Academy,golden hillock road,B11 2QG,Secondary,-1.860838394,52.4577473,Sparkhill,Birmingham,Open,Academy sponsor led,0,1,0,11,16,Mixed,Good
13,Ark Kings Academy,shannon road,B38 9DE,Secondary,-1.931555681,52.39811531,Kings Norton,Birmingham,Open,Academy sponsor led,1,1,1,4,18,Mixed,Good
