low-energy-fixed-light-count,address,uprn-source,floor-height,heating-cost-potential,unheated-corridor-length,hot-water-cost-potential,construction-age-band,potential-energy-rating,mainheat-energy-eff,windows-env-eff,lighting-energy-eff,environment-impact-potential,glazed-type,heating-cost-current,address3,mainheatcont-description,sheating-energy-eff,property-type,local-authority-label,fixed-lighting-outlets-count,energy-tariff,mechanical-ventilation,hot-water-cost-current,county,postcode,solar-water-heating-flag,constituency,co2-emissions-potential,number-heated-rooms,floor-description,energy-consumption-potential,local-authority,built-form,number-open-fireplaces,windows-description,glazed-area,inspection-date,mains-gas-flag,co2-emiss-curr-per-floor-area,address1,heat-loss-corridor,flat-storey-count,constituency-label,roof-energy-eff,total-floor-area,building-reference-number,environment-impact-current,co2-emissions-current,roof-description,floor-energy-eff,number-habitable-rooms,address2,hot-water-env-eff,posttown,mainheatc-energy-eff,main-fuel,lighting-env-eff,windows-energy-eff,floor-env-eff,sheating-env-eff,lighting-description,roof-env-eff,walls-energy-eff,photo-supply,lighting-cost-potential,mainheat-env-eff,multi-glaze-proportion,main-heating-controls,lodgement-datetime,flat-top-storey,current-energy-rating,secondheat-description,walls-env-eff,transaction-type,uprn,current-energy-efficiency,energy-consumption-current,mainheat-description,lighting-cost-current,lodgement-date,extension-count,mainheatc-env-eff,lmk-key,wind-turbine-count,tenure,floor-level,potential-energy-efficiency,hot-water-energy-eff,low-energy-lighting,walls-description,hotwater-description
,"Apartment 11, Elstow Court, 4 Springbank Road",Energy Assessor,2.38,198,6.67,71,England and Wales: 1996-2002,B,Good,Average,Good,86,"double glazing, unknown install date",196,4 Springbank Road,TRVs and bypass,N/A,Flat,Birmingham,8.0,Unknown,natural,71,,B15 2HF,N,E14000560,1.0,3.0,(another dwelling below),109,E08000025,End-Terrace,0,Fully double glazed,Normal,2021-12-31,Y,20.0,Apartment 11,unheated corridor,,"Birmingham, Edgbaston",N/A,54.0,10001874104,85,1.1,(another dwelling above),N/A,3.0,Elstow Court,Good,BIRMINGHAM,Average,mains gas (not community),Good,Average,N/A,N/A,Low energy lighting in 63% of fixed outlets,N/A,Good,0.0,53,Good,100,,2021-12-31 09:42:09,N,B,None,Good,marketed sale,10023296809,81,114,"Boiler and radiators, mains gas",72,2021-12-31,0.0,Average,36456d99798bef48d85821ba1d0d5bb4892496b4d7d055213a48fab7f1f35b9b,0,Owner-occupied,02,82,Good,63,"Cavity wall, as built, insulated (assumed)",From main system
,88 Carnford Road,Energy Assessor,2.0,334,,71,England and Wales: 1950-1966,B,Very Poor,Average,Very Good,89,"double glazing, unknown install date",1555,,Appliance thermostats,N/A,House,Birmingham,12.0,dual,natural,236,,B26 3AE,N,E14000568,1.0,5.0,"Solid, no insulation (assumed)",66,E08000025,Semi-Detached,0,Fully double glazed,Normal,2021-12-13,Y,75.0,88 Carnford Road,,,"Birmingham, Yardley",Average,86.0,10001197904,39,6.4,"Pitched, 100 mm loft insulation",N/A,5.0,,Poor,BIRMINGHAM,Good,electricity (not community),Very Good,Average,N/A,N/A,Low energy lighting in 83% of fixed outlets,Average,Very Poor,0.0,91,Poor,100,,2021-12-31 17:57:59,,E,None,Very Poor,ECO assessment,100070316742,40,441,"Room heaters, electric",79,2021-12-31,0.0,Good,c2a83e2a93a62751d571266bc9064e3a00fca3863b90115577593580ea1087a2,0,Rented (private),,90,Poor,83,"Solid brick, as built, no insulation (assumed)","Electric immersion, off-peak"
,"401 Ludgate Loft Apartments, 17 Ludgate Hill",Energy Assessor,2.3,179,,81,England and Wales: 1900-1929,B,Good,Average,Very Good,86,"double glazing, unknown install date",197,,"Programmer, room thermostat and TRVs",N/A,Flat,Birmingham,20.0,Single,natural,80,,B3 1DW,N,E14000564,1.0,2.0,(another dwelling below),114,E08000025,Enclosed Mid-Terrace,0,Fully double glazed,Normal,2021-12-29,Y,22.0,401 Ludgate Loft Apartments,no corridor,,"Birmingham, Ladywood",N/A,49.0,10001843293,84,1.1,(another dwelling above),N/A,2.0,17 Ludgate Hill,Good,BIRMINGHAM,Good,mains gas (not community),Very Good,Average,N/A,N/A,Low energy lighting in all fixed outlets,N/A,Very Poor,0.0,44,Good,100,,2021-12-31 13:26:48,N,C,None,Very Poor,not sale or rental,100071286855,80,127,"Boiler and radiators, mains gas",44,2021-12-31,0.0,Good,1bf4cef5846bb9b39a9e4f3e042faeccfa342f94a393f75b85b8651e7eda1e57,0,Owner-occupied,03,81,Good,100,"Solid brick, as built, no insulation (assumed)",From main system
,21 Hawkhurst Road,Energy Assessor,2.47,499,,66,England and Wales: 1930-1949,B,Good,Average,Very Good,86,"double glazing, unknown install date",762,,Programmer and room thermostat,N/A,House,Birmingham,14.0,Single,natural,94,,B14 5HS,N,E14000567,1.3,5.0,"Suspended, no insulation (assumed)",109,E08000025,Semi-Detached,1,Fully double glazed,Normal,2021-12-31,Y,41.0,21 Hawkhurst Road,,,"Birmingham, Selly Oak",Good,86.0,10001858018,64,3.5,"Pitched, 250 mm loft insulation",N/A,5.0,,Good,BIRMINGHAM,Average,mains gas (not community),Very Good,Average,N/A,N/A,Low energy lighting in 86% of fixed outlets,Good,Very Poor,0.0,80,Good,100,,2021-12-31 13:32:30,,D,"Room heaters, wood logs",Very Poor,marketed sale,100070397123,61,271,"Boiler and radiators, mains gas",80,2021-12-31,1.0,Average,1335e47663cf96c2f388e5b2708a0789310c962e8dc6ec85fe6665f9264d763c,0,Owner-occupied,,83,Good,86,"Solid brick, as built, no insulation (assumed)",From main system
,27 Farcroft Grove,Energy Assessor,2.4,414,,68,England and Wales: 1930-1949,B,Good,Average,Average,84,"double glazing, unknown install date",682,,"Programmer, room thermostat and TRVs",N/A,House,Birmingham,10.0,Single,natural,96,,B21 8PU,N,E14000566,1.4,5.0,"Suspended, no insulation (assumed)",91,E08000025,Semi-Detached,0,Fully double glazed,Normal,2021-12-30,Y,48.0,27 Farcroft Grove,,,"Birmingham, Perry Barr",Good,87.0,10001766676,56,4.2,"Pitched, 200 mm loft insulation",N/A,5.0,,Good,BIRMINGHAM,Good,mains gas (not community),Average,Average,N/A,N/A,Low energy lighting in 30% of fixed outlets,Good,Very Poor,0.0,70,Good,100,,2021-12-31 16:46:40,,D,"Room heaters, mains gas",Very Poor,marketed sale,100070362611,62,274,"Boiler and radiators, mains gas",120,2021-12-31,0.0,Good,7876bb392348081163641c10c30af1055b1e378d1d8940920ec181556bbddec9,0,Owner-occupied,,86,Good,30,"Solid brick, as built, no insulation (assumed)",From main system
,"Apartment 14, 10 Bell Barn Road",Energy Assessor,2.2,54,,171,England and Wales: 2007-2011,B,Very Poor,Good,Very Good,81,double glazing installed during or after 2002,105,,Programmer and appliance thermostats,N/A,Flat,Birmingham,17.0,Single,natural,330,,B15 2DH,N,E14000564,1.4,2.0,(another dwelling below),151,E08000025,Mid-Terrace,0,Fully double glazed,Normal,2021-12-29,N,25.0,Apartment 14,no corridor,,"Birmingham, Ladywood",N/A,54.0,10001935077,82,1.3,(another dwelling above),N/A,2.0,10 Bell Barn Road,Poor,BIRMINGHAM,Good,electricity (not community),Very Good,Good,N/A,N/A,Low energy lighting in all fixed outlets,N/A,Good,0.0,58,Poor,100,,2021-12-31 13:36:06,N,C,None,Good,not sale or rental,10090254454,80,145,"Room heaters, electric",52,2021-12-31,0.0,Good,8132d572f7ed6957e0e065140b4cbb75d5e14e796d394fd16ea53e8e6782ac75,0,Owner-occupied,02,88,Very Poor,100,"System built, as built, insulated (assumed)","Electric immersion, standard tariff"
,"19 Haig Place, 273 Wheelers Lane",Energy Assessor,2.32,445,,66,England and Wales: 1930-1949,B,Good,Average,Very Good,82,"double glazing, unknown install date",610,,Programmer and room thermostat,N/A,House,Birmingham,12.0,Unknown,natural,94,,B13 0ST,N,E14000567,1.6,5.0,"Solid, no insulation (assumed)",120,E08000025,End-Terrace,0,Fully double glazed,Normal,2021-12-31,Y,50.0,19 Haig Place,,,"Birmingham, Selly Oak",Average,72.0,10001885970,58,3.6,"Pitched, 100 mm loft insulation",N/A,5.0,273 Wheelers Lane,Good,BIRMINGHAM,Average,mains gas (not community),Very Good,Average,N/A,N/A,Low energy lighting in all fixed outlets,Average,Poor,0.0,61,Good,100,,2021-12-31 21:38:51,,D,None,Poor,marketed sale,100071307914,64,283,"Boiler and radiators, mains gas",61,2021-12-31,0.0,Average,d3b464c35bfbe5eb4a8fb280cb906bbd0bd42fb64504a630112ca32a268748dd,0,Owner-occupied,,84,Good,100,"Cavity wall, as built, no insulation (assumed)",From main system
,274 Frankley Beeches Road,Energy Assessor,2.45,398,,66,England and Wales: 1930-1949,B,Very Poor,Average,Good,86,"double glazing, unknown install date",2576,,None,N/A,House,Birmingham,14.0,Single,natural,90,,B31 5LZ,N,E14000565,1.4,0.0,"Solid, no insulation (assumed)",90,E08000025,Semi-Detached,0,Fully double glazed,Normal,2021-09-27,Y,90.0,274 Frankley Beeches Road,,,"Birmingham, Northfield",Good,83.0,10001909646,33,7.5,"Pitched, 150 mm loft insulation",N/A,5.0,,Average,BIRMINGHAM,Very Poor,To be used only when there is no heating/hot-water system or data is from a community network,Good,Average,N/A,N/A,Low energy lighting in 50% of fixed outlets,Good,Very Poor,0.0,69,Poor,100,,2021-12-31 19:14:56,,G,None,Very Poor,ECO assessment,100070372148,19,532,No system present: electric heaters assumed,103,2021-12-31,0.0,Very Poor,4776d4df9a23b06b8e2e76ea50595666c2417b2710f32b589ab006ba1e431d33,0,Owner-occupied,,88,Average,50,"Solid brick, as built, no insulation (assumed)",Gas multipoint
,"24 Haig Place, 289 Wheelers Lane",Energy Assessor,2.32,301,,90,England and Wales: 1983-1990,C,Good,Average,Very Good,78,"double glazing, unknown install date",337,,"Programmer, room thermostat and TRVs",N/A,Flat,Birmingham,10.0,Unknown,natural,90,,B13 0ST,N,E14000567,1.8,3.0,(another dwelling below),159,E08000025,End-Terrace,0,Fully double glazed,Normal,2021-12-31,Y,31.0,24 Haig Place,no corridor,,"Birmingham, Selly Oak",Average,64.0,10001932794,75,2.0,"Pitched, 100 mm loft insulation",N/A,3.0,289 Wheelers Lane,Good,BIRMINGHAM,Good,mains gas (not community),Very Good,Average,N/A,N/A,Low energy lighting in all fixed outlets,Average,Good,0.0,61,Good,100,,2021-12-31 21:13:04,Y,C,None,Good,marketed sale,100071307919,75,177,"Boiler and radiators, mains gas",61,2021-12-31,0.0,Good,8fa679a735dfaf2cd36154f9908786fcd8204e8fff9d90a236209f7ca2f8bf09,0,Owner-occupied,01,77,Good,100,"Cavity wall, as built, insulated (assumed)",From main system
,"33 Haig Place, 263 Wheelers Lane",Energy Assessor,2.32,315,,90,England and Wales: 1983-1990,C,Good,Average,Very Good,77,"double glazing, unknown install date",370,,"Programmer, room thermostat and TRVs",N/A,Flat,Birmingham,10.0,Unknown,natural,90,,B13 0ST,N,E14000567,1.9,3.0,"Suspended, no insulation (assumed)",166,E08000025,End-Terrace,0,Fully double glazed,Normal,2021-12-31,Y,34.0,33 Haig Place,no corridor,,"Birmingham, Selly Oak",N/A,64.0,10002001245,73,2.2,(another dwelling above),N/A,3.0,263 Wheelers Lane,Good,BIRMINGHAM,Good,mains gas (not community),Very Good,Average,N/A,N/A,Low energy lighting in all fixed outlets,N/A,Good,0.0,61,Good,100,,2021-12-31 21:21:47,N,C,None,Good,marketed sale,100071307928,73,194,"Boiler and radiators, mains gas",61,2021-12-31,0.0,Good,f0a15dce62b52c06465ac8bd61ed06d35bbf1e890ccf0efa877b69d83ba921ba,0,Owner-occupied,00,76,Good,100,"Cavity wall, as built, insulated (assumed)",From main system
