,School_Name,STREET,POSTCODE,LNG,LAT,LOCALITY,GENDER,OFSTEDRATING,price_paid,postcode,property_type,new_build,estate_type,street
0,Adderley Primary School,arden road,B8 1DZ,-1.8610507230000002,52.48382747,Saltley,Mixed,Good,250000,B27 6AH,T,N,F,arden road
1,Adderley Primary School,arden road,B8 1DZ,-1.8610507230000002,52.48382747,Saltley,Mixed,Good,355000,B27 6AH,S,N,F,arden road
2,Adderley Primary School,arden road,B8 1DZ,-1.8610507230000002,52.48382747,Saltley,Mixed,Good,314000,B27 6AH,S,N,F,arden road
3,Adderley Primary School,arden road,B8 1DZ,-1.8610507230000002,52.48382747,Saltley,Mixed,Good,350000,B27 6AQ,S,N,F,arden road
4,Adderley Primary School,arden road,B8 1DZ,-1.8610507230000002,52.48382747,Saltley,Mixed,Good,120000,B8 1DE,O,N,F,arden road
5,Al-Furqan Primary School,reddings lane,B11 3EY,-1.847550234,52.44890278,Tyseley,Mixed,Good,118000,B11 3DD,S,N,F,reddings lane
6,Al-Furqan Primary School,reddings lane,B11 3EY,-1.847550234,52.44890278,Tyseley,Mixed,Good,199750,B11 3DF,S,N,F,reddings lane
7,Al-Furqan Primary School,reddings lane,B11 3EY,-1.847550234,52.44890278,Tyseley,Mixed,Good,265000,B11 3DF,S,N,F,reddings lane
8,Al-Furqan Primary School,reddings lane,B11 3EY,-1.847550234,52.44890278,Tyseley,Mixed,Good,95000,B11 3EX,T,N,F,reddings lane
9,Al-Furqan Primary School,reddings lane,B11 3EY,-1.847550234,52.44890278,Tyseley,Mixed,Good,240000,B28 8TE,O,N,F,reddings lane
15,Albert Bradbeer Primary Academy,turves green,B31 4RD,-1.97240037,52.39449077,Longbridge,Mixed,Good,103000,B31 4AA,F,N,L,turves green
16,Albert Bradbeer Primary Academy,turves green,B31 4RD,-1.97240037,52.39449077,Longbridge,Mixed,Good,190000,B31 4AH,S,N,F,turves green
17,Albert Bradbeer Primary Academy,turves green,B31 4RD,-1.97240037,52.39449077,Longbridge,Mixed,Good,178000,B31 4AH,S,N,F,turves green
18,Albert Bradbeer Primary Academy,turves green,B31 4RD,-1.97240037,52.39449077,Longbridge,Mixed,Good,90000,B31 4BL,F,N,L,turves green
19,Albert Bradbeer Primary Academy,turves green,B31 4RD,-1.97240037,52.39449077,Longbridge,Mixed,Good,168000,B31 4BS,T,N,F,turves green
20,Albert Bradbeer Primary Academy,turves green,B31 4RD,-1.97240037,52.39449077,Longbridge,Mixed,Good,375000,B31 4BS,D,N,F,turves green
21,Turves Green Boys' School,turves green,B31 4BS,-1.9703550019999998,52.39863469,Northfield,Boys,Special Measures,103000,B31 4AA,F,N,L,turves green
22,Turves Green Boys' School,turves green,B31 4BS,-1.9703550019999998,52.39863469,Northfield,Boys,Special Measures,190000,B31 4AH,S,N,F,turves green
23,Turves Green Boys' School,turves green,B31 4BS,-1.9703550019999998,52.39863469,Northfield,Boys,Special Measures,178000,B31 4AH,S,N,F,turves green
