,School_Name,STREET,POSTCODE,WEB_SITE,School_Group,LNG,LAT,SCHNAME,TOWN,SCHSTATUS,MINORGROUP,SCHOOLTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGELOW,AGEHIGH,GENDER,RELCHAR,OFSTEDRATING
0,Acocks Green Primary School,Westley Road,B27 7UQ,http://acocks.schooljotter2.com/,Primary,-1.825223129,52.44679522,Acocks Green Primary School,Birmingham,Open,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,
1,Adderley Primary School,Arden Road,B8 1DZ,http://www.adderleyprimary.co.uk/,Primary,-1.8610507230000002,52.48382747,Adderley Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Good
2,Al-Furqan Primary School,Reddings Lane,B11 3EY,http://www.al-furqan-pri.bham.sch.uk/,Primary,-1.847550234,52.44890278,Al-Furqan Primary School,Birmingham,Open,Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Muslim,Good
3,Al-Hijrah School,"Cherrywood Centre, Burbidge Road",B9 4US,http://www.alhijrahschool.co.uk/,All Through,-1.8533292030000001,52.48104026,Al-Hijrah School,Birmingham,Closed,Maintained school,Voluntary aided school,1,1,0,4,16,Mixed,Muslim,Special Measures
4,Albert Bradbeer Primary Academy,Turves Green,B31 4RD,http://www.abprimary.bham.sch.uk/,Primary,-1.97240037,52.39449077,Albert Bradbeer Primary Academy,Birmingham,Open,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Good
5,Allens Croft Primary School,Allens Croft Road,B14 6RP,http://www.allcroft.bham.sch.uk/,Primary,-1.91327193,52.42116285,Allens Croft Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Good
6,Alston Primary School,Alston Road,B9 5UN,http://www.alston.bham.sch.uk/,Primary,-1.831049399,52.48147803,Alston Primary School,Birmingham,Open,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Does not apply,Good
7,Anderton Park Primary School,Dennis Road,B12 8BL,http://www.andertonparkschool.org/,Primary,-1.8751760080000002,52.45126346,Anderton Park Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Good
8,Anglesey Primary School,Anglesey Street,B19 1RA,http://www.angleseysch-bham.co.uk/,Primary,-1.910584496,52.49963448,Anglesey Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Good
9,Archbishop Ilsley Catholic School,Victoria Road,B27 7XY,http://www.ilsley.bham.sch.uk/,Secondary,-1.821846799,52.44487533,Archbishop Ilsley Catholic School,Birmingham,Closed,Maintained school,Voluntary aided school,0,1,1,11,18,Mixed,Roman Catholic,Good
10,Archbishop Ilsley Catholic School,Victoria Road,B27 7XY,http://www.ilsley.bham.sch.uk/,Secondary,-1.821846799,52.44487533,Archbishop Ilsley Catholic School,Birmingham,Open,Academy,Academy converter,0,1,1,11,18,Mixed,Roman Catholic,
11,Arden Primary School,Baker Street,B11 4SF,http://www.arden.bham.sch.uk/,Primary,-1.862509285,52.4551961,Arden Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Good
12,Ark Boulton Academy,Golden Hillock Road,B11 2QG,http://arkboulton.org/,Secondary,-1.860838394,52.4577473,Ark Boulton Academy,Birmingham,Open,Academy,Academy sponsor led,0,1,0,11,16,Mixed,Does not apply,Good
13,Ark Kings Academy,Shannon Road,B38 9DE,http://www.arkkingsacademy.org/,Secondary,-1.9315556809999999,52.39811531,Ark Kings Academy,Birmingham,Open,Academy,Academy sponsor led,1,1,1,4,18,Mixed,None,Good
14,Ark St Alban's Academy,Conybere Street,B12 0YH,http://arkstalbans.org/,Secondary,-1.8892807440000001,52.4666642,Ark St Alban's Academy,Birmingham,Open,Academy,Academy sponsor led,0,1,1,11,18,Mixed,Church of England,Requires improvement
15,Ark Tindal Primary Academy,Tindal Street,B12 9QS,http://www.arktindalprimary.org/,Primary,-1.888703803,52.45507070000001,Ark Tindal Primary Academy,Birmingham,Open,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Does not apply,Good
16,Aston Manor Academy,Phillips Street,B6 4PZ,http://www.astonmanor.bham.sch.uk/,Secondary,-1.890147499,52.495958400000006,Aston Manor Academy,Birmingham,Open,Academy,Academy converter,0,1,1,11,18,Mixed,None,Outstanding
17,Aston Tower Community Primary School,Upper Sutton Street,B6 5BE,http://www.astontowerprimary.co.uk/,Primary,-1.887278555,52.500405799999996,Aston Tower Community Primary School,Birmingham,Open,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Good
18,Aston University Engineering Academy,1 Lister Street,B7 4AG,http://www.auea.co.uk/,Secondary,-1.8862869530000002,52.48917874,Aston University Engineering Academy,Birmingham,Open,Academy,University technical college,0,1,1,13,19,Mixed,Does not apply,Good
19,Audley Primary School,Audley Road,B33 9HY,http://www.audley.bham.sch.uk/,Primary,-1.796120435,52.48832748,Audley Primary School,Birmingham,Open,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Requires improvement
20,Balaam Wood School,New Street,B45 0EU,http://www.frankley.bham.sch.uk/,Secondary,-2.017152247,52.40386929,Balaam Wood School,Birmingham,Closed,Maintained school,Community school,0,1,0,11,16,Mixed,Does not apply,Serious Weaknesses
21,Banners Gate Primary School,Coppice View Road,B73 6UE,http://www.bannersgate.bham.sch.uk/,Primary,-1.8773942469999998,52.5587313,Banners Gate Primary School,Sutton Coldfield,Closed,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Special Measures
22,Barford Primary School,Barford Road,B16 0EF,http://www.barfordprimary.co.uk/site,Primary,-1.935031137,52.48463113,Barford Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Good
23,Bartley Green School,Adams Hill,B32 3QJ,http://www.bartleygreen.org.uk/,Secondary,-1.999072363,52.43748437,Bartley Green School,Birmingham,Open,Academy,Academy converter,0,1,0,11,16,Mixed,None,Outstanding
24,Baskerville School,Fellows Lane,B17 9TS,http://www.baskvill.bham.sch.uk/,Special,-1.966651219,52.45783315,Baskerville School,Birmingham,Open,Special school,Foundation special school,0,1,1,11,19,Mixed,Does not apply,Good
25,Beaufort School,Stechford Road,B34 6BJ,http://www.beaufort.bham.sch.uk/,Special,-1.8073728619999998,52.49254826,Beaufort School,Birmingham,Open,Special school,Community special school,1,0,0,2,11,Mixed,Does not apply,Outstanding
26,Bellfield Infant School (NC),Vineyard Road,B31 1PT,http://www.bellfield-inf.bham.sch.uk/,Infants,-1.972680794,52.4166514,Bellfield Infant School (NC),Birmingham,Open,Maintained school,Community school,1,0,0,3,7,Mixed,Does not apply,Good
27,Benson Community School,Benson Road,B18 5TD,http://www.bensonschool.co.uk/,Primary,-1.9309448619999998,52.49793103,Benson Community School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Good
28,Billesley Primary School,Trittiford Road,B13 0ES,http://www.billesley.bham.sch.uk/,Primary,-1.867912065,52.42492378,Billesley Primary School,Birmingham,Open,Academy,Academy sponsor led,1,0,0,3,11,Mixed,None,Outstanding
29,Birches Green Infant School,Birches Green Road,B24 9SR,http://www.birchgni.bham.sch.uk/,Infants,-1.829397449,52.51652747,Birches Green Infant School,Birmingham,"Open, but proposed to close",Maintained school,Community school,1,0,0,3,7,Mixed,Does not apply,Good
30,Birches Green Junior School,Birches Green Road,B24 9SR,http://www.birchgnj.bham.sch.uk/,Juniors,-1.828732761,52.51692205,Birches Green Junior School,Birmingham,Closed,Maintained school,Community school,1,0,0,7,11,Mixed,Does not apply,Special Measures
31,Birches Green Junior School,Birches Green Road,B24 9SR,http://www.birchgnj.bham.sch.uk/,Juniors,-1.828732761,52.51692205,Birches Green Junior School,Birmingham,Open,Academy,Academy sponsor led,1,0,0,7,11,Mixed,Does not apply,
32,Birmingham Ormiston Academy,1 Grovesnor Street,B4 7QD,http://www.boa-academy.co.uk/,Secondary,-1.887431347,52.48323602,Birmingham Ormiston Academy,Birmingham,Open,Academy,Academy sponsor led,0,1,1,14,19,Mixed,Does not apply,Good
33,Bishop Challoner Catholic College,Institute Road,B14 7EG,http://www.bishopchalloner.org.uk/,Secondary,-1.8898327990000001,52.43302825,Bishop Challoner Catholic College,Birmingham,Open,Maintained school,Voluntary aided school,0,1,1,11,18,Mixed,Roman Catholic,Good
34,Bishop Vesey's Grammar School,Lichfield Road,B74 2NH,http://www.bvgs.co.uk/,Secondary,-1.822008986,52.56902643,Bishop Vesey's Grammar School,Sutton Coldfield,Open,Academy,Academy converter,0,1,1,11,18,Boys,None,Outstanding
35,Bishop Walsh Catholic School,Wylde Green Road,B76 1QT,http://bishopwalsh.net/welcome/,Secondary,-1.8113465119999999,52.54729948,Bishop Walsh Catholic School,Sutton Coldfield,Open,Academy,Academy converter,0,1,1,11,18,Mixed,Roman Catholic,Good
36,Blakesley Hall Primary School,Yardley Green Road,B33 8TH,http://www.blakesley.bham.sch.uk/,Primary,-1.8156731869999998,52.47530603,Blakesley Hall Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Good
37,Boldmere Infant School and Nursery,Cofield Road,B73 5SD,http://www.boldmere-inf.bham.sch.uk/,Infants,-1.844639598,52.54445304,Boldmere Infant School and Nursery,Sutton Coldfield,Open,Maintained school,Community school,1,0,0,3,7,Mixed,Does not apply,Outstanding
38,Boldmere Junior School,Cofield Road,B73 5SD,http://www.bldmerej.bham.sch.uk/,Juniors,-1.843797949,52.54478456,Boldmere Junior School,Sutton Coldfield,Open,Maintained school,Community school,1,0,0,7,11,Mixed,Does not apply,Outstanding
39,Bordesley Green Girls' School & Sixth Form,Bordesley Green Road,B9 4TR,http://www.bordgrng.bham.sch.uk/,Secondary,-1.854168703,52.48096939,Bordesley Green Girls' School & Sixth Form,Birmingham,Open,Maintained school,Community school,0,1,1,11,18,Girls,Does not apply,Requires improvement
40,Bordesley Green Primary School,Marchmont Road,B9 5XX,http://www.bordsgrn.bham.sch.uk/,Primary,-1.838996237,52.47867532,Bordesley Green Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Good
41,Bournville Infant School,Linden Road,B30 1JY,http://www.bournvilleinfantschool.org.uk/,Infants,-1.93655255,52.42907081,Bournville Infant School,Birmingham,Closed,Maintained school,Voluntary aided school,1,0,0,5,7,Mixed,None,Outstanding
42,Braidwood School for the Deaf,Bromford Road,B36 8AF,http://www.braidwood.bham.sch.uk/,Special,-1.819994226,52.50236631,Braidwood School for the Deaf,Birmingham,Open,Special school,Foundation special school,0,1,1,11,19,Mixed,Does not apply,Good
43,Brays School,Brays Road,B26 1NS,http://www.brays.bham.sch.uk/,Special,-1.794517955,52.45926006,Brays School,Birmingham,Open,Special school,Academy special converter,1,0,0,2,11,Mixed,Does not apply,Outstanding
44,Broadmeadow Infant School,Monyhull Hall Road,B30 3QJ,http://www.brdmedoi.bham.sch.uk/,Infants,-1.914413515,52.40865849,Broadmeadow Infant School,Birmingham,Open,Maintained school,Community school,1,0,0,3,7,Mixed,Does not apply,Good
45,Broadmeadow Junior School,Monyhull Hall Road,B30 3QJ,http://www.brdmedoj.bham.sch.uk/,Juniors,-1.915134214,52.40846128,Broadmeadow Junior School,Birmingham,Open,Maintained school,Community school,1,0,0,7,11,Mixed,Does not apply,Good
46,Broadway Academy,The Broadway,B20 3DP,http://www.broadway-school.co.uk/,Secondary,-1.8955865280000002,52.51303523,Broadway Academy,Birmingham,Open,Academy,Academy converter,0,1,1,11,18,Mixed,Does not apply,Good
47,Brookfields Primary School,2 Hingeston Street,B18 6PU,http://www.brookfields.bham.sch.uk/,Primary,-1.9182921880000001,52.48968815,Brookfields Primary School,Birmingham,Closed,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Serious Weaknesses
48,Brookfields Primary School,2 Hingeston Street,B18 6PU,http://www.brookfields.bham.sch.uk/,Primary,-1.9182921880000001,52.48968815,Brookfields Primary School,Birmingham,Open,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Does not apply,
49,Brookvale Primary School,Mallard Drive,B23 7YB,http://www.brookvaleschool.co.uk/,Primary,-1.8712205219999998,52.52108416,Brookvale Primary School,Birmingham,Open,Academy,Academy converter,1,0,0,5,11,Mixed,Does not apply,Good
50,Brownmead Primary Academy,Pencroft Road,B34 6SS,http://learning.brownmead.academy/,Primary,-1.780870856,52.49868365,Brownmead Primary Academy,Birmingham,Open,Academy,Academy sponsor led,1,0,0,5,11,Mixed,Does not apply,Good
51,Calshot Primary School,Calshot Road,B42 2BY,http://www.calshot.bham.sch.uk/index.htm,Primary,-1.917487051,52.5424044,Calshot Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Good
52,Canterbury Cross Primary School,Canterbury Road,B20 3AA,http://www.canterburycross.org.uk/,Primary,-1.8998172309999999,52.51223873,Canterbury Cross Primary School,Birmingham,Open,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Good
53,Chad Vale Primary School,Nursery Road,B15 3JU,http://www.chadvale.bham.sch.uk/,Primary,-1.945466009,52.46421719,Chad Vale Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Good
54,Chandos Primary School,Vaughton Street South,B12 0YN,http://www.chandos.bham.sch.uk/,Primary,-1.8914398140000002,52.46750642,Chandos Primary School,Birmingham,Open,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Does not apply,Good
55,Cherry Oak School,60 Frederick Road,B29 6PB,http://www.cherryoak.bham.sch.uk/,Special,-1.94244943,52.44090472,Cherry Oak School,Birmingham,Open,Special school,Community special school,1,0,0,3,11,Mixed,Does not apply,Requires improvement
56,Cherry Orchard Primary School,Cherry Orchard Road,B20 2LB,http://www.cherryorchard-bham.co.uk/,Primary,-1.9210950519999999,52.52016587,Cherry Orchard Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Good
57,Chilcote Primary School,Chilcote Close,B28 0PB,http://www.chilcote.bham.sch.uk/,Primary,-1.843677482,52.41644364,Chilcote Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Outstanding
