,School_Name,STREET,POSTCODE,LNG,LAT,LOCALITY,GENDER,OFSTEDRATING
0,Acocks Green Primary School,westley road,B27 7UQ,-1.825223129,52.44679522,Acocks Green,Mixed,
1,Adderley Primary School,arden road,B8 1DZ,-1.8610507230000002,52.48382747,Saltley,Mixed,Good
2,Al-Furqan Primary School,reddings lane,B11 3EY,-1.847550234,52.44890278,Tyseley,Mixed,Good
3,Al-Hijrah School,"cherrywood centre, burbidge road",B9 4US,-1.8533292030000001,52.48104026,Bordesley Green,Mixed,Special Measures
4,Albert Bradbeer Primary Academy,turves green,B31 4RD,-1.97240037,52.39449077,Longbridge,Mixed,Good
5,Allens Croft Primary School,allens croft road,B14 6RP,-1.91327193,52.42116285,Kings Heath,Mixed,Good
6,Alston Primary School,alston road,B9 5UN,-1.831049399,52.48147803,Bordesley Green East,Mixed,Good
7,Anderton Park Primary School,dennis road,B12 8BL,-1.8751760080000002,52.45126346,Sparkhill,Mixed,Good
8,Anglesey Primary School,anglesey street,B19 1RA,-1.910584496,52.49963448,,Mixed,Good
9,Archbishop Ilsley Catholic School,victoria road,B27 7XY,-1.821846799,52.44487533,Acocks Green,Mixed,Good
10,Archbishop Ilsley Catholic School,victoria road,B27 7XY,-1.821846799,52.44487533,Acocks Green,Mixed,
11,Arden Primary School,baker street,B11 4SF,-1.862509285,52.4551961,Sparkhill,Mixed,Good
12,Ark Boulton Academy,golden hillock road,B11 2QG,-1.860838394,52.4577473,Sparkhill,Mixed,Good
13,Ark Kings Academy,shannon road,B38 9DE,-1.9315556809999999,52.39811531,Kings Norton,Mixed,Good
14,Ark St Alban's Academy,conybere street,B12 0YH,-1.8892807440000001,52.4666642,,Mixed,Requires improvement
15,Ark Tindal Primary Academy,tindal street,B12 9QS,-1.888703803,52.45507070000001,Balsall Heath,Mixed,Good
16,Aston Manor Academy,phillips street,B6 4PZ,-1.890147499,52.495958400000006,Aston,Mixed,Outstanding
17,Aston Tower Community Primary School,upper sutton street,B6 5BE,-1.887278555,52.500405799999996,Aston,Mixed,Good
18,Aston University Engineering Academy,1 lister street,B7 4AG,-1.8862869530000002,52.48917874,,Mixed,Good
19,Audley Primary School,audley road,B33 9HY,-1.796120435,52.48832748,Stechford,Mixed,Requires improvement
20,Balaam Wood School,new street,B45 0EU,-2.017152247,52.40386929,Frankley,Mixed,Serious Weaknesses
21,Banners Gate Primary School,coppice view road,B73 6UE,-1.8773942469999998,52.5587313,,Mixed,Special Measures
22,Barford Primary School,barford road,B16 0EF,-1.935031137,52.48463113,Ladywood,Mixed,Good
23,Bartley Green School,adams hill,B32 3QJ,-1.999072363,52.43748437,,Mixed,Outstanding
24,Baskerville School,fellows lane,B17 9TS,-1.966651219,52.45783315,Harborne,Mixed,Good
25,Beaufort School,stechford road,B34 6BJ,-1.8073728619999998,52.49254826,Hodge Hill,Mixed,Outstanding
26,Bellfield Infant School (NC),vineyard road,B31 1PT,-1.972680794,52.4166514,,Mixed,Good
27,Benson Community School,benson road,B18 5TD,-1.9309448619999998,52.49793103,Hockley,Mixed,Good
28,Billesley Primary School,trittiford road,B13 0ES,-1.867912065,52.42492378,Billesley,Mixed,Outstanding
29,Birches Green Infant School,birches green road,B24 9SR,-1.829397449,52.51652747,Erdington,Mixed,Good
30,Birches Green Junior School,birches green road,B24 9SR,-1.828732761,52.51692205,Erdington,Mixed,Special Measures
31,Birches Green Junior School,birches green road,B24 9SR,-1.828732761,52.51692205,Erdington,Mixed,
32,Birmingham Ormiston Academy,1 grovesnor street,B4 7QD,-1.887431347,52.48323602,,Mixed,Good
33,Bishop Challoner Catholic College,institute road,B14 7EG,-1.8898327990000001,52.43302825,Kings Heath,Mixed,Good
34,Bishop Vesey's Grammar School,lichfield road,B74 2NH,-1.822008986,52.56902643,,Boys,Outstanding
35,Bishop Walsh Catholic School,wylde green road,B76 1QT,-1.8113465119999999,52.54729948,,Mixed,Good
36,Blakesley Hall Primary School,yardley green road,B33 8TH,-1.8156731869999998,52.47530603,Stechford,Mixed,Good
37,Boldmere Infant School and Nursery,cofield road,B73 5SD,-1.844639598,52.54445304,,Mixed,Outstanding
38,Boldmere Junior School,cofield road,B73 5SD,-1.843797949,52.54478456,Boldmere,Mixed,Outstanding
39,Bordesley Green Girls' School & Sixth Form,bordesley green road,B9 4TR,-1.854168703,52.48096939,,Girls,Requires improvement
40,Bordesley Green Primary School,marchmont road,B9 5XX,-1.838996237,52.47867532,,Mixed,Good
41,Bournville Infant School,linden road,B30 1JY,-1.93655255,52.42907081,,Mixed,Outstanding
42,Braidwood School for the Deaf,bromford road,B36 8AF,-1.819994226,52.50236631,,Mixed,Good
43,Brays School,brays road,B26 1NS,-1.794517955,52.45926006,Sheldon,Mixed,Outstanding
44,Broadmeadow Infant School,monyhull hall road,B30 3QJ,-1.914413515,52.40865849,Kings Norton,Mixed,Good
45,Broadmeadow Junior School,monyhull hall road,B30 3QJ,-1.915134214,52.40846128,Kings Norton,Mixed,Good
46,Broadway Academy,the broadway,B20 3DP,-1.8955865280000002,52.51303523,Perry Barr,Mixed,Good
47,Brookfields Primary School,2 hingeston street,B18 6PU,-1.9182921880000001,52.48968815,Hockley,Mixed,Serious Weaknesses
48,Brookfields Primary School,2 hingeston street,B18 6PU,-1.9182921880000001,52.48968815,Hockley,Mixed,
49,Brookvale Primary School,mallard drive,B23 7YB,-1.8712205219999998,52.52108416,Erdington,Mixed,Good
50,Brownmead Primary Academy,pencroft road,B34 6SS,-1.780870856,52.49868365,Shard End,Mixed,Good
51,Calshot Primary School,calshot road,B42 2BY,-1.917487051,52.5424044,Great Barr,Mixed,Good
52,Canterbury Cross Primary School,canterbury road,B20 3AA,-1.8998172309999999,52.51223873,Birchfield,Mixed,Good
53,Chad Vale Primary School,nursery road,B15 3JU,-1.945466009,52.46421719,Edgbaston,Mixed,Good
54,Chandos Primary School,vaughton street south,B12 0YN,-1.8914398140000002,52.46750642,Highgate,Mixed,Good
55,Cherry Oak School,60 frederick road,B29 6PB,-1.94244943,52.44090472,Selly Oak,Mixed,Requires improvement
56,Cherry Orchard Primary School,cherry orchard road,B20 2LB,-1.9210950519999999,52.52016587,Handsworth Wood,Mixed,Good
57,Chilcote Primary School,chilcote close,B28 0PB,-1.843677482,52.41644364,,Mixed,Outstanding
58,Chilwell Croft Academy,chilwell croft,B19 2QH,-1.8973217219999998,52.49549739,Newtown,Mixed,Good
59,Chivenor Primary School,farnborough road,B35 7JA,-1.7914267019999999,52.51551382,Castle Vale,Mixed,Good
60,Christ Church CofE Controlled Primary School and Nursery,claremont road,B11 1LF,-1.87434511,52.46402841,Sparkbrook,Mixed,Outstanding
61,Christ The King Catholic Primary School,warren farm road,B44 0QN,-1.87674419,52.54328608,Kingstanding,Mixed,Outstanding
62,City Road Primary School,cavendish road,B16 0HL,-1.9447257390000001,52.48447659,,Mixed,
63,Clifton Primary School,brunswick road,B12 8NX,-1.877598701,52.45630487,Balsall Heath,Mixed,Good
64,Cofton Primary School,wootton road,B31 4ST,-1.968185974,52.39004863,West Heath,Mixed,Good
65,Colebourne Primary School,stechford road,B34 6BJ,-1.807085803,52.49312847,Hodge Hill,Mixed,Good
66,Colmers School and Sixth Form College,bristol road south,B45 9NY,-2.003320103,52.39631887,Rednal,Mixed,Good
67,Colmore Infant and Nursery School,colmore road,B14 6AJ,-1.900244216,52.42749058,Kings Heath,Mixed,Outstanding
68,Colmore Junior School,colmore road,B14 6AJ,-1.899993049,52.42799384,Kings Heath,Mixed,Good
69,Conway Primary School,conway road,B11 1NS,-1.8685142030000002,52.45984168,Sparkbrook,Mixed,Good
70,Coppice Primary School,trinity road,B75 6TJ,-1.824663435,52.58045651,Four Oaks,Mixed,Good
71,Corpus Christi Catholic Primary School,lyttelton road,B33 8BL,-1.812558757,52.48065018,Stechford,Mixed,Good
72,Cottesbrooke Infant and Nursery School,yardley road,B27 6LG,-1.817371949,52.45255494,Acocks Green,Mixed,Good
73,Court Farm Primary School,tedbury crescent,B23 5NS,-1.85361097,52.5337755,Erdington,Mixed,Good
74,Deykin Avenue Junior and Infant School,deykin avenue,B6 7BU,-1.87563195,52.51414867,Witton,Mixed,Requires improvement
75,Dorrington Academy,dorrington road,B42 1QR,-1.9229055869999998,52.52984919,Perry Barr,Mixed,Outstanding
76,Elms Farm Community Primary School,dorncliffe avenue,B33 0PJ,-1.7732431469999999,52.46377914,Sheldon,Mixed,Good
77,English Martyrs' Catholic Primary School,evelyn road,B11 3JW,-1.8636846230000002,52.45102603,Sparkhill,Mixed,Outstanding
78,Erdington Hall Primary School,ryland road,B24 8JJ,-1.841262472,52.51179728,Erdington,Mixed,Good
79,Fairfax,fairfax road,B75 7JT,-1.79769983,52.56144499,,Mixed,Good
80,Featherstone Primary School,glenville drive,B23 6PR,-1.8506459780000002,52.52559999,,Mixed,Good
81,Firs Primary School,dreghorn road,B36 8LL,-1.803003521,52.50424318,Castle Bromwich,Mixed,Requires improvement
82,Forestdale Primary School,wareham road,B45 0JS,-2.004953377,52.40754312,Frankley,Mixed,Requires improvement
83,Four Dwellings Academy,dwellings lane,B32 1RJ,-2.003633981,52.45506876,,Mixed,Good
84,Four Dwellings Primary Academy,quinton road west,B32 1PJ,-2.000755604,52.45484585,Quinton,Mixed,Requires improvement
85,Four Oaks Primary School,edge hill road,B74 4PA,-1.8521949480000002,52.595560899999995,Four Oaks,Mixed,Outstanding
86,Fox Hollies School and Performing Arts College,highbury community campus,B13 8QB,-1.8930939880000002,52.44084358,Queensbridge Road,Mixed,Outstanding
87,George Dixon Academy,portland road,B16 9GD,-1.9565372030000001,52.47665491,Edgbaston,Mixed,Good
88,George Dixon Primary School,city road,B17 8LE,-1.957273539,52.4764304,Edgbaston,Mixed,Requires improvement
89,Gilbertstone Primary School,clay lane,B26 1EH,-1.809063871,52.45461857,,Mixed,Good
90,Glenmead Primary School,glenmead road,B44 8UQ,-1.9000112340000002,52.54123863,,Mixed,Requires improvement
91,Green Meadow Primary School,green meadow road,B29 4EE,-1.9723997919999998,52.42882837,Selly Oak,Mixed,Requires improvement
92,Greenholm Primary School,greenholm road,B44 8HS,-1.8924348690000001,52.53654998,Great Barr,Mixed,Good
93,Greenwood Academy,farnborough road,B35 7NL,-1.782252636,52.52017209,,Mixed,Good
94,Greet Primary School,percy road,B11 3ND,-1.8577918340000001,52.45320368,Sparkhill,Mixed,
95,Grestone Academy,grestone avenue,B20 1ND,-1.937937012,52.52228851,Handsworth Wood,Mixed,Requires improvement
96,Grove School,dawson road,B21 9HB,-1.9334668240000001,52.50566375,Handsworth,Mixed,Good
97,Guardian Angels Catholic Primary School,hurst lane,B34 7HN,-1.764234927,52.49694358,Shard End,Mixed,Good
98,Guardian Angels Catholic Primary School,hurst lane,B34 7HN,-1.764234927,52.49694358,Shard End,Mixed,
99,Gunter Primary School,gunter road,B24 0RU,-1.8084520219999998,52.52108037,Pype Hayes,Mixed,Good
100,Hall Green Infant School,petersfield road,B28 0AR,-1.8454493459999999,52.43113572,Hall Green,Mixed,Good
101,Hall Green Junior School,stratford road,B28 9AJ,-1.844361392,52.43101746,Hall Green,Mixed,Good
102,Hall Green School,southam road,B28 0AA,-1.8489437180000001,52.43292928,Hall Green,Mixed,Good
103,Hallmoor School,scholars gate,B33 0DL,-1.780264604,52.48110716,Kitts Green,Mixed,Requires improvement
104,Hamilton School,hamilton road,B21 8AH,-1.9439402,52.5069457,Handsworth,Mixed,Outstanding
105,Hamstead Hall Academy,craythorne avenue,B20 1HL,-1.94211219,52.53031862,Handsworth Wood,Mixed,Good
106,Harborne Academy,harborne road,B15 3JL,-1.9382423219999998,52.46185833,Edgbaston,Mixed,Good
107,Harborne Primary School,station road,B17 9LU,-1.9529633430000002,52.45907815,Harborne,Mixed,Outstanding
108,Hawkesley Church Primary Academy,376 shannon road,B38 9TR,-1.9378668769999998,52.39362368,Kings Norton,Mixed,Good
109,Hawthorn Primary School,hawthorn road,B44 8QR,-1.877148367,52.53579792,Kingstanding,Mixed,Requires improvement
110,Heartlands Academy,gt francis street,B7 4QR,-1.874864485,52.48858054,Nechells,Mixed,Outstanding
111,Heath Mount Primary School,mary street,B12 9ST,-1.889912302,52.46023213,Balsall Heath,Mixed,Requires improvement
112,Heathfield Primary School,heathfield road,B19 1HJ,-1.908965964,52.50589924,,Mixed,Good
113,Heathlands Primary Academy,heath way,B34 6NB,-1.795742295,52.50004071,Castle Bromwich,Mixed,Requires improvement
114,Highfield Junior and Infant School,highfield road,B8 3QF,-1.849091482,52.49312638,Saltley,Mixed,Good
115,Highters Heath Community School,highters heath lane,B14 4LY,-1.871933773,52.41230618,Kings Heath,Mixed,Requires improvement
116,Hill West Primary School,clarence road,B74 4LD,-1.843174902,52.59554933,Four Oaks,Mixed,Good
117,Hillstone Primary School,hillstone road,B34 7PY,-1.766124909,52.49329737,Shard End,Mixed,Good
118,Hodge Hill College,bromford road,B36 8HB,-1.8205279630000002,52.50158216,Hodge Hill,Mixed,Good
119,Hodge Hill Girls' School,bromford road,B36 8EY,-1.817798574,52.50259384,Hodge Hill,Girls,Good
120,Hodge Hill Primary School,twycross grove,B36 8LD,-1.816048388,52.50189893,Hodge Hill,Mixed,Requires improvement
121,Holland House Infant School and Nursery,holland road,B72 1RE,-1.821595619,52.55815715,,Mixed,Outstanding
122,Holly Hill Methodist CofE Infant School,new street,B45 0EU,-2.01696154,52.40461546,Rubery,Mixed,Good
123,Hollyfield Primary School,hollyfield road,B75 7SG,-1.8011939540000002,52.56189146,,Mixed,Good
124,Hollywood Primary School,pickenham road,B14 4TG,-1.879280386,52.40304517,Hollywood,Mixed,Good
125,Holte School,wheeler street,B19 2EP,-1.9002416290000002,52.50048929999999,Lozells,Mixed,Requires improvement
126,Holy Cross Catholic Primary School,laburnum drive,B76 2SP,-1.7930485090000001,52.55615989999999,Walmley,Mixed,Good
127,Holy Family Catholic Primary School,coventry road,B10 0HT,-1.8460061419999998,52.46555925,,Mixed,Good
128,Holy Souls Catholic Primary School,mallard close,B27 6BN,-1.8189089369999998,52.44736112,Acocks Green,Mixed,Serious Weaknesses
129,Holy Souls Catholic Primary School,mallard close,B27 6BN,-1.8189089369999998,52.44736112,Acocks Green,Mixed,
130,Holy Trinity CE Primary Academy (Handsworth),havelock road,B20 3LP,-1.906843277,52.51343114,Handsworth,Mixed,Requires improvement
131,Holyhead School,milestone lane,B21 0HN,-1.94663839,52.50524789,Handsworth,Mixed,Good
132,James Brindley School,bell barn road,B15 2AF,-1.906685718,52.46938032,Edgbaston,Mixed,Good
133,James Watt Primary School,boulton road,B21 0RE,-1.9392792580000002,52.49998523,Soho,Mixed,Good
134,Jervoise School,jervoise road,B29 5QU,-1.968900246,52.44044703,Weoley Castle,Mixed,Good
135,John Willmott School,reddicap heath road,B75 7DY,-1.79558003,52.56049742,,Mixed,Requires improvement
136,John Willmott School,reddicap heath road,B75 7DY,-1.79558003,52.56049742,,Mixed,
137,King Edward VI Aston School,frederick road,B6 6DJ,-1.885649753,52.50366755,Aston,Boys,
138,King Edward VI Camp Hill School for Boys,vicarage road,B14 7QJ,-1.903237165,52.43078346,Kings Heath,Boys,
139,King Edward VI Camp Hill School for Girls,vicarage road,B14 7QJ,-1.9022952080000002,52.43109734,Kings Heath,Girls,Outstanding
